title,genre,description
Inception,Sci-Fi,science fiction dream technology thriller
Interstellar,Sci-Fi,space science future adventure
The Matrix,Sci-Fi,technology virtual reality action
The Dark Knight,Action,superhero crime action thriller
Avengers Endgame,Action,superhero adventure action
Iron Man,Action,superhero technology action
Titanic,Romance,romance drama love story
The Notebook,Romance,romance drama love story
La La Land,Romance,music romance drama love
The Conjuring,Horror,supernatural horror thriller
It,Horror,supernatural horror thriller
A Quiet Place,Horror,alien horror thriller
